symbol_code,symbol_name,factor_date,factor_value,metadata_json
300603,立昂技术,20260811,-340000000.0,"{""change_pct"": 20.05, ""price"": 9.64, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300404,博济医药,20260811,-92893500.0,"{""change_pct"": 20.02, ""price"": 14.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688265,南模生物,20260811,40557300.0,"{""change_pct"": 20.01, ""price"": 52.42, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300862,蓝盾光电,20260811,-393000000.0,"{""change_pct"": 20.01, ""price"": 39.41, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301520,万邦医药,20260811,90940000.0,"{""change_pct"": 20.0, ""price"": 88.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300534,陇神戎发,20260811,196000000.0,"{""change_pct"": 19.97, ""price"": 18.92, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300333,兆日科技,20260811,-30923700.0,"{""change_pct"": 19.95, ""price"": 10.64, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300937,药易购,20260811,46727000.0,"{""change_pct"": 14.8, ""price"": 30.33, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688137,近岸蛋白,20260811,24057000.0,"{""change_pct"": 13.74, ""price"": 60.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300907,康平科技,20260811,-14213400.0,"{""change_pct"": 13.32, ""price"": 47.89, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301077,星华新材,20260811,-6546900.000000001,"{""change_pct"": 12.93, ""price"": 24.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301591,肯特股份,20260811,19999700.0,"{""change_pct"": 12.86, ""price"": 35.54, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301602,超研股份,20260811,-14750600.0,"{""change_pct"": 12.24, ""price"": 20.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688045,必易微,20260811,7878400.0,"{""change_pct"": 11.97, ""price"": 65.4, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688478,晶升股份,20260811,37156200.0,"{""change_pct"": 11.77, ""price"": 55.44, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688115,思林杰,20260811,20342600.0,"{""change_pct"": 11.29, ""price"": 66.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300394,天孚通信,20260811,1104000000.0,"{""change_pct"": 11.23, ""price"": 267.01, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688583,思看科技,20260811,38813400.0,"{""change_pct"": 11.2, ""price"": 83.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301373,凌玮科技,20260811,3980200.0,"{""change_pct"": 10.47, ""price"": 108.04, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600491,ST龙元,20260811,62624700.0,"{""change_pct"": 10.29, ""price"": 1.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300204,舒泰神,20260811,235000000.0,"{""change_pct"": 10.24, ""price"": 26.38, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688627,精智达,20260811,133000000.0,"{""change_pct"": 10.2, ""price"": 505.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600881,亚泰集团,20260811,-120000000.0,"{""change_pct"": 10.19, ""price"": 2.27, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300790,宇瞳光学,20260811,144000000.0,"{""change_pct"": 10.18, ""price"": 20.88, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688143,长盈通,20260811,34779000.0,"{""change_pct"": 10.15, ""price"": 129.97, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688758,赛分科技,20260811,46208800.0,"{""change_pct"": 10.14, ""price"": 30.85, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002219,新里程,20260811,1994700.0,"{""change_pct"": 10.13, ""price"": 2.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002172,澳洋健康,20260811,-41221000.0,"{""change_pct"": 10.13, ""price"": 4.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002437,誉衡药业,20260811,-277000000.0,"{""change_pct"": 10.1, ""price"": 4.25, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000972,中基健康,20260811,-11645600.0,"{""change_pct"": 10.09, ""price"": 3.82, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002081,金螳螂,20260811,-101000000.0,"{""change_pct"": 10.07, ""price"": 4.81, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601789,宁波建工,20260811,-86745700.0,"{""change_pct"": 10.07, ""price"": 4.92, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000936,华西股份,20260811,-74142500.0,"{""change_pct"": 10.07, ""price"": 6.34, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603956,威派格,20260811,-33108500.0,"{""change_pct"": 10.06, ""price"": 7.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002330,得利斯,20260811,-3720600.0,"{""change_pct"": 10.05, ""price"": 4.38, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002581,*ST未名,20260811,4810100.0,"{""change_pct"": 10.05, ""price"": 4.27, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600683,京投发展,20260811,-17582200.0,"{""change_pct"": 10.04, ""price"": 12.93, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603887,城地香江,20260811,-182000000.0,"{""change_pct"": 10.04, ""price"": 12.49, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603758,秦安股份,20260811,-59369799.99999999,"{""change_pct"": 10.04, ""price"": 15.35, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601579,会稽山,20260811,-31612700.0,"{""change_pct"": 10.03, ""price"": 17.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600726,华电能源,20260811,-209000000.0,"{""change_pct"": 10.03, ""price"": 6.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002174,游族网络,20260811,-3460200.0,"{""change_pct"": 10.03, ""price"": 13.38, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000802,北京文化,20260811,-387000000.0,"{""change_pct"": 10.02, ""price"": 6.26, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603912,佳力图,20260811,-70174700.0,"{""change_pct"": 10.02, ""price"": 8.89, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603466,风语筑,20260811,-258000000.0,"{""change_pct"": 10.02, ""price"": 13.72, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002706,良信股份,20260811,45191800.0,"{""change_pct"": 10.02, ""price"": 9.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002322,理工能科,20260811,-32362199.999999996,"{""change_pct"": 10.02, ""price"": 11.86, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603261,立航科技,20260811,-14811199.999999998,"{""change_pct"": 10.01, ""price"": 57.37, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000593,德龙汇能,20260811,-9723100.0,"{""change_pct"": 10.01, ""price"": 27.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
605179,一鸣食品,20260811,-30750800.0,"{""change_pct"": 10.0, ""price"": 33.43, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603115,海星股份,20260811,-126000000.0,"{""change_pct"": 10.0, ""price"": 82.28, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600821,金开新能,20260811,-109000000.00000001,"{""change_pct"": 10.0, ""price"": 7.15, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600800,渤海化学,20260811,-28772900.0,"{""change_pct"": 10.0, ""price"": 3.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600613,神奇制药,20260811,-49632200.0,"{""change_pct"": 10.0, ""price"": 5.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002851,麦格米特,20260811,-657000000.0,"{""change_pct"": 10.0, ""price"": 138.23, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002644,佛慈制药,20260811,-28432500.0,"{""change_pct"": 10.0, ""price"": 8.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002484,江海股份,20260811,-420000000.0,"{""change_pct"": 10.0, ""price"": 71.75, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002329,皇氏集团,20260811,-267000000.0,"{""change_pct"": 10.0, ""price"": 4.62, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000668,荣丰控股,20260811,-78241000.0,"{""change_pct"": 10.0, ""price"": 24.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
605286,同力天启,20260811,-53142900.0,"{""change_pct"": 10.0, ""price"": 34.09, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601026,道生天合,20260811,12227400.0,"{""change_pct"": 9.99, ""price"": 16.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001260,坤泰股份,20260811,-37322900.0,"{""change_pct"": 9.99, ""price"": 21.03, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603236,移远通信,20260811,-409000000.0,"{""change_pct"": 9.99, ""price"": 59.43, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603118,共进股份,20260811,-348000000.0,"{""change_pct"": 9.99, ""price"": 15.96, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002066,瑞泰科技,20260811,36291800.0,"{""change_pct"": 9.98, ""price"": 21.93, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000887,中鼎股份,20260811,-466000000.0,"{""change_pct"": 9.98, ""price"": 23.69, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603330,天洋新材,20260811,-60747100.0,"{""change_pct"": 9.97, ""price"": 9.71, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002575,群兴玩具,20260811,-93029300.0,"{""change_pct"": 9.95, ""price"": 6.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601999,出版传媒,20260811,-92673300.0,"{""change_pct"": 9.95, ""price"": 6.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000692,惠天热电,20260811,17231600.0,"{""change_pct"": 9.91, ""price"": 4.88, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688517,金冠电气,20260811,16792400.0,"{""change_pct"": 9.88, ""price"": 17.46, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301396,宏景科技,20260811,303000000.0,"{""change_pct"": 9.83, ""price"": 214.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688796,百奥赛图,20260811,60858700.0,"{""change_pct"": 9.83, ""price"": 147.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300149,睿智医药,20260811,102000000.0,"{""change_pct"": 9.72, ""price"": 11.85, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300856,科思股份,20260811,38424900.0,"{""change_pct"": 9.65, ""price"": 12.05, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300385,ST雪浪,20260811,24157100.0,"{""change_pct"": 9.58, ""price"": 12.47, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688557,兰剑智能,20260811,23503500.0,"{""change_pct"": 9.54, ""price"": 22.86, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688205,德科立,20260811,214000000.0,"{""change_pct"": 9.52, ""price"": 160.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301234,五洲医疗,20260811,21690000.0,"{""change_pct"": 9.48, ""price"": 95.88, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300234,开尔新材,20260811,22814000.0,"{""change_pct"": 9.35, ""price"": 10.06, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688635,长进光子,20260811,18806700.0,"{""change_pct"": 9.28, ""price"": 327.86, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301025,读客文化,20260811,-67362800.0,"{""change_pct"": 9.22, ""price"": 9.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688597,煜邦电力,20260811,26004400.0,"{""change_pct"": 9.08, ""price"": 7.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301607,富特科技,20260811,46202200.0,"{""change_pct"": 9.03, ""price"": 44.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601886,江河集团,20260811,31009699.999999996,"{""change_pct"": 8.97, ""price"": 11.42, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301080,百普赛斯,20260811,141000000.0,"{""change_pct"": 8.88, ""price"": 89.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688167,炬光科技,20260811,290000000.0,"{""change_pct"": 8.84, ""price"": 267.23, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300039,上海凯宝,20260811,151000000.0,"{""change_pct"": 8.82, ""price"": 6.29, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301225,恒勃股份,20260811,23462600.000000004,"{""change_pct"": 8.8, ""price"": 63.79, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301122,采纳股份,20260811,3569700.0000000005,"{""change_pct"": 8.62, ""price"": 36.02, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300787,海能实业,20260811,23670500.0,"{""change_pct"": 8.61, ""price"": 10.47, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301282,金禄电子,20260811,103000000.0,"{""change_pct"": 8.58, ""price"": 28.72, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300154,瑞凌股份,20260811,5523800.0,"{""change_pct"": 8.51, ""price"": 10.2, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688800,瑞可达,20260811,28375900.0,"{""change_pct"": 8.33, ""price"": 63.04, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603296,华勤技术,20260811,-174000000.0,"{""change_pct"": 8.3, ""price"": 85.58, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002921,联诚精密,20260811,10899200.0,"{""change_pct"": 8.22, ""price"": 24.23, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688222,成都先导,20260811,159000000.0,"{""change_pct"": 8.18, ""price"": 41.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601108,财通证券,20260811,353000000.0,"{""change_pct"": 8.12, ""price"": 9.05, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000826,*ST启环,20260811,-6064900.0,"{""change_pct"": 8.09, ""price"": 1.87, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688045,必易微,20260811,803300.0,"{""change_pct"": 8.01, ""price"": 63.09, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603959,ST百利,20260811,23159899.999999996,"{""change_pct"": 7.92, ""price"": 5.18, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603920,世运电路,20260811,82063700.00000001,"{""change_pct"": 7.92, ""price"": 40.33, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600667,太极实业,20260811,463999999.99999994,"{""change_pct"": 7.79, ""price"": 24.48, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000695,滨海能源,20260811,18541500.0,"{""change_pct"": 7.65, ""price"": 14.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688392,骄成超声,20260811,118000000.0,"{""change_pct"": 7.64, ""price"": 177.6, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002396,星网锐捷,20260811,157000000.0,"{""change_pct"": 7.51, ""price"": 31.65, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688293,奥浦迈,20260811,37054200.0,"{""change_pct"": 7.42, ""price"": 66.43, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600179,安通控股,20260811,-198000000.0,"{""change_pct"": 7.42, ""price"": 4.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688498,源杰科技,20260811,212000000.0,"{""change_pct"": 7.33, ""price"": 1533.73, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688068,热景生物,20260811,40138100.0,"{""change_pct"": 7.27, ""price"": 118.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002474,榕基软件,20260811,-224000000.00000003,"{""change_pct"": 7.22, ""price"": 7.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688315,诺禾致源,20260811,8524600.0,"{""change_pct"": 7.18, ""price"": 17.16, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603682,锦和商管,20260811,-13804700.0,"{""change_pct"": 7.15, ""price"": 13.19, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002229,鸿博股份,20260811,-455999999.99999994,"{""change_pct"": 7.13, ""price"": 13.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301060,兰卫医学,20260811,28698300.0,"{""change_pct"": 7.12, ""price"": 10.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301201,诚达药业,20260811,74088700.0,"{""change_pct"": 7.05, ""price"": 38.27, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301382,蜂助手,20260811,140000000.0,"{""change_pct"": 7.0, ""price"": 44.92, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603272,*ST联翔,20260811,31198000.0,"{""change_pct"": 6.94, ""price"": 16.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300255,常山药业,20260811,180000000.0,"{""change_pct"": 6.94, ""price"": 28.97, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300093,金刚光伏,20260811,47418300.0,"{""change_pct"": 6.86, ""price"": 24.6, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688683,莱尔科技,20260811,12934000.0,"{""change_pct"": 6.83, ""price"": 32.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002400,省广集团,20260811,-626000000.0,"{""change_pct"": 6.82, ""price"": 7.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688180,君实生物,20260811,208000000.0,"{""change_pct"": 6.81, ""price"": 41.26, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688131,皓元医药,20260811,123000000.0,"{""change_pct"": 6.78, ""price"": 100.48, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301529,福赛科技,20260811,44946200.0,"{""change_pct"": 6.75, ""price"": 105.69, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688612,威迈斯,20260811,23898700.0,"{""change_pct"": 6.74, ""price"": 34.03, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603277,银都股份,20260811,-58861300.0,"{""change_pct"": 6.62, ""price"": 12.41, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000838,*ST发展,20260811,7020900.0,"{""change_pct"": 6.6, ""price"": 3.07, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688759,必贝特,20260811,14170000.0,"{""change_pct"": 6.5, ""price"": 28.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300593,新雷能,20260811,132000000.0,"{""change_pct"": 6.44, ""price"": 30.56, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301273,瑞晨环保,20260811,38940500.0,"{""change_pct"": 6.43, ""price"": 41.86, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300858,科拓生物,20260811,3018200.0,"{""change_pct"": 6.37, ""price"": 16.02, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301021,英诺激光,20260811,946800.0000000001,"{""change_pct"": 6.32, ""price"": 73.56, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002364,中恒电气,20260811,-168000000.0,"{""change_pct"": 6.3, ""price"": 44.21, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688147,微导纳米,20260811,38056400.0,"{""change_pct"": 6.28, ""price"": 119.75, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301257,普蕊斯,20260811,33609100.0,"{""change_pct"": 6.28, ""price"": 53.47, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603678,火炬电子,20260811,26626000.0,"{""change_pct"": 6.25, ""price"": 52.51, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300870,欧陆通,20260811,-137000000.0,"{""change_pct"": 6.24, ""price"": 230.55, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688114,华大智造,20260811,78290200.0,"{""change_pct"": 6.15, ""price"": 67.85, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603950,长源东谷,20260811,46698700.0,"{""change_pct"": 6.12, ""price"": 61.25, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301200,大族数控,20260811,45145800.0,"{""change_pct"": 6.09, ""price"": 298.28, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603989,艾华集团,20260811,55871100.0,"{""change_pct"": 6.06, ""price"": 31.31, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603306,华懋科技,20260811,140000000.0,"{""change_pct"": 6.0, ""price"": 75.84, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688301,奕瑞科技,20260811,-16258699.999999998,"{""change_pct"": 5.94, ""price"": 100.16, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603009,北特科技,20260811,122000000.0,"{""change_pct"": 5.94, ""price"": 49.06, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002857,三晖电气,20260811,-3026200.0,"{""change_pct"": 5.9, ""price"": 17.95, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603067,振华股份,20260811,114999999.99999999,"{""change_pct"": 5.9, ""price"": 35.55, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601991,大唐发电,20260811,867000000.0,"{""change_pct"": 5.88, ""price"": 6.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688062,迈威生物,20260811,28371900.0,"{""change_pct"": 5.85, ""price"": 34.56, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002586,ST围海,20260811,-1262300.0,"{""change_pct"": 5.84, ""price"": 3.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301287,康力源,20260811,1538500.0,"{""change_pct"": 5.8, ""price"": 37.95, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301209,联合化学,20260811,25532700.0,"{""change_pct"": 5.8, ""price"": 63.98, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688238,和元生物,20260811,31791300.0,"{""change_pct"": 5.79, ""price"": 7.49, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600302,ST标准,20260811,2051800.0,"{""change_pct"": 5.79, ""price"": 7.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301165,锐捷网络,20260811,128000000.0,"{""change_pct"": 5.74, ""price"": 133.48, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301089,拓新药业,20260811,20276900.0,"{""change_pct"": 5.72, ""price"": 26.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300313,天山生物,20260811,7186400.0,"{""change_pct"": 5.66, ""price"": 8.96, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002317,众生药业,20260811,110000000.00000001,"{""change_pct"": 5.62, ""price"": 29.52, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600671,天目药业,20260811,34640100.0,"{""change_pct"": 5.61, ""price"": 22.77, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688443,智翔金泰,20260811,26034200.0,"{""change_pct"": 5.61, ""price"": 27.49, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603061,金海通,20260811,-33812100.0,"{""change_pct"": 5.59, ""price"": 346.09, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300570,太辰光,20260811,31401000.0,"{""change_pct"": 5.59, ""price"": 158.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601858,中国科传,20260811,79913000.0,"{""change_pct"": 5.56, ""price"": 25.82, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688090,瑞松科技,20260811,-11840000.0,"{""change_pct"": 5.55, ""price"": 73.4, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688073,毕得医药,20260811,44622600.0,"{""change_pct"": 5.53, ""price"": 84.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300110,华仁药业,20260811,34453800.0,"{""change_pct"": 5.5, ""price"": 3.07, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301248,杰创智能,20260811,22091900.0,"{""change_pct"": 5.43, ""price"": 68.19, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300453,三鑫医疗,20260811,54127000.0,"{""change_pct"": 5.38, ""price"": 9.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000938,紫光股份,20260811,682000000.0,"{""change_pct"": 5.38, ""price"": 38.99, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603598,引力传媒,20260811,26580400.0,"{""change_pct"": 5.36, ""price"": 19.85, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300811,铂科新材,20260811,107000000.0,"{""change_pct"": 5.35, ""price"": 78.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300835,龙磁科技,20260811,50136800.0,"{""change_pct"": 5.34, ""price"": 161.11, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301717,超纯应材,20260811,166000000.0,"{""change_pct"": 5.33, ""price"": 528.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001210,金房能源,20260811,10770500.0,"{""change_pct"": 5.33, ""price"": 23.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300725,药石科技,20260811,-80356700.0,"{""change_pct"": 5.29, ""price"": 52.14, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603456,九洲药业,20260811,81757100.0,"{""change_pct"": 5.23, ""price"": 17.71, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600327,大东方,20260811,45401400.0,"{""change_pct"": 5.21, ""price"": 4.24, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600156,华升股份,20260811,259800.0,"{""change_pct"": 5.21, ""price"": 8.89, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002384,东山精密,20260811,-135000000.0,"{""change_pct"": 5.21, ""price"": 210.62, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688702,盛科通信,20260811,375000000.0,"{""change_pct"": 5.18, ""price"": 404.82, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300026,红日药业,20260811,136000000.0,"{""change_pct"": 5.14, ""price"": 3.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688318,财富趋势,20260811,56234200.0,"{""change_pct"": 5.14, ""price"": 83.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688192,迪哲医药,20260811,91661000.0,"{""change_pct"": 5.12, ""price"": 61.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300049,福瑞医科,20260811,69442800.0,"{""change_pct"": 5.12, ""price"": 46.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688428,诺诚健华,20260811,27020000.0,"{""change_pct"": 5.1, ""price"": 32.95, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600222,太龙药业,20260811,32543600.0,"{""change_pct"": 5.1, ""price"": 8.25, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688046,药康生物,20260811,56012700.00000001,"{""change_pct"": 5.08, ""price"": 40.56, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300272,开能健康,20260811,14648400.0,"{""change_pct"": 5.08, ""price"": 6.21, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688598,金博股份,20260811,-5549600.0,"{""change_pct"": 5.04, ""price"": 33.56, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300567,精测电子,20260811,56465300.0,"{""change_pct"": 5.02, ""price"": 236.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603897,长城科技,20260811,-78404200.0,"{""change_pct"": 4.99, ""price"": 33.65, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688719,爱科赛博,20260811,1430000.0,"{""change_pct"": 4.98, ""price"": 51.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300212,*ST易录,20260811,18416300.0,"{""change_pct"": 4.97, ""price"": 8.87, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
